Date,Winner,Is_Draw,,,,,,,,
2023-11-23 11:26,X,FALSE,,,,,,,,
2023-11-23 11:26,,TRUE,,,,,,,,
2023-11-23 11:26,X,FALSE,,,,,,,,
2023-11-23 11:26,,TRUE,,,,,,,,
2023-11-23 11:26,,TRUE,,,,,,,,
2023-11-23 11:26,X,FALSE,,,,,,,,
2023-11-23 11:26,X,FALSE,,,,,,,,
2023-11-23 11:26,X,TRUE,,,,,,,,
2023-11-23 11:26,X,FALSE,,,,,,,,
2023-11-23 11:26,O,FALSE,,,,,,,,
2023-11-23 11:26,X,FALSE,,,,,,,,
2023-11-23 11:26,X,TRUE,,,,,,,,
2023-11-23 11:28,X,TRUE,,,,,,,,
2023-11-23 11:28,O,FALSE,,,,,,,,
2023-11-23 11:28,O,FALSE,,,,,,,,
2023-11-23 11:28,X,FALSE,,,,,,,,
2023-11-23 11:28,X,FALSE,,,,,,,,
2023-11-23 11:28,O,FALSE,,,,,,,,
2023-11-23 11:28,X,FALSE,,,,,,,,
2023-11-23 11:28,O,FALSE,,,,,,,,
2023-11-23 11:28,X,FALSE,,,,,,,,
2023-11-23 11:28,X,TRUE,,,,,,,,
2023-11-23 11:28,O,FALSE,,,,,,,,
2023-11-23 11:28,X,FALSE,,,,,,,,
2023-11-23 11:28,X,TRUE,,,,,,,,
2023-11-26 3:34,X,TRUE,,,,,,,,
2023-11-26 3:34,O,FALSE,,,,,,,,
2023-11-26 3:34,X,FALSE,,,,,,,,
2023-11-26 3:34,X,FALSE,,,,,,,,
